name,domain
ucr-vafailabbcoe,vafai.engr.ucr.edu
ucr-guobcoe,guolab.engr.ucr.edu
ucr-wcgecbcoe,www.wcgec.ucr.edu
ucr-wcgecbcoe,wcgec.ucr.edu
ucr-biggsabcoe,biggsa.engr.ucr.edu
ucr-morikissymposiumbcoe,morikis-symposium.engr.ucr.edu
ucr-jwulabbcoe,jwulab.engr.ucr.edu
ucr-sciencetopolicy,s2p.ucr.edu
ucr-sciencetopolicy,sciencetopolicy.ucr.edu
ucr-menlabbcoe,menlab.engr.ucr.edu
ucr-hulabbcoe,hulab.engr.ucr.edu
ucr-hulabbcoe,hu.engr.ucr.edu
ucr-b2kbcoe,b2k.engr.ucr.edu
ucr-cib,cib.ucr.edu
ucr-cib,cib.engr.ucr.edu
ucr-stridebcoe,stride.engr.ucr.edu
ucr-lorenzobcoe,lorenzo.engr.ucr.edu
ucr-ds4gbcoe,ds4g.cs.ucr.edu
ucr-liugroup-bcoe,liugroup.ucr.edu
ucr-bioannualreport2020bcoe,bioannualreport2020.engr.ucr.edu
ucr-schultzlecturesbcoe,schultzlectures.engr.ucr.edu
ucr-testcentercsbcoe,testcenter.cs.ucr.edu
ucr-memencys,memencys.ucr.edu
ucr-nlpcsbcoe,nlp.cs.ucr.edu
ucr-megsabcoe,megsa.me.ucr.edu
ucr-megsabcoe,megsa.engr.ucr.edu
ucr-iasprojectbcoe,iasproject.engr.ucr.edu
ucr-ceanbcoe,cean.ucr.edu
ucr-ceanbcoe,cean.engr.ucr.edu
ucr-taslbcoe,tasl.ucr.edu
ucr-taslbcoe,tasl.engr.ucr.edu
